10.8529791117,106.7728751983
10.8529791033,106.7728752350
10.8529791150,106.7728751700
10.8529794767,106.7728751850
10.8529789383,106.7728751767
10.8529786283,106.7728751283
10.8529751750,106.7728747617
10.8529688533,106.7728739533
10.8529592017,106.7728729500
10.8529479017,106.7728718150
10.8529359783,106.7728703683
10.8529219483,106.7728701233
10.8529079567,106.7728691817
10.8528921717,106.7728682617
10.8528771700,106.7728670717
10.8528601267,106.7728655783
10.8528433683,106.7728637850
10.8528257817,106.7728615367
10.8528065217,106.7728589617
10.8527888700,106.7728562833
10.8527692650,106.7728537000
10.8527508933,106.7728511733
10.8527304867,106.7728487083
10.8527115900,106.7728463700
10.8526912500,106.7728435267
10.8526727767,106.7728413083
10.8526526600,106.7728392117
10.8526339650,106.7728369317
10.8526160583,106.7728345700
10.8525980000,106.7728327633
10.8525769650,106.7728302567
10.8525574567,106.7728276750
10.8525379050,106.7728257083
10.8525164000,106.7728230250
10.8524960200,106.7728207483
10.8524753800,106.7728182867
10.8524524467,106.7728156033
10.8524312417,106.7728132650
10.8524078883,106.7728106800
10.8523870967,106.7728083650
10.8523662067,106.7728060400
10.8523438067,106.7728026400
10.8523230150,106.7727999550
10.8523024533,106.7727976050
10.8522845133,106.7727971350
10.8522656733,106.7727948617
10.8522436150,106.7727919000
10.8522221583,106.7727897633
10.8521992300,106.7727872883
10.8521784683,106.7727844700
10.8521559400,106.7727823000
10.8521357033,106.7727801233
10.8521165267,106.7727779067
10.8520966300,106.7727759217
10.8520786950,106.7727748583
10.8520615233,106.7727731617
10.8520427500,106.7727712100
10.8520245467,106.7727690183
10.8520028550,106.7727659000
10.8519815417,106.7727629767
10.8519574367,106.7727598300
10.8519350600,106.7727569267
10.8519125283,106.7727534483
10.8518875567,106.7727488400
10.8518645517,106.7727443517
10.8518390400,106.7727400933
10.8518155683,106.7727368133
10.8517923467,106.7727334967
10.8517692883,106.7727303000
10.8517446550,106.7727269250
10.8517218883,106.7727235833
10.8516978667,106.7727209033
10.8516767800,106.7727180617
10.8516535467,106.7727150833
10.8516327283,106.7727138300
10.8516104883,106.7727106783
10.8515896317,106.7727083317
10.8515661533,106.7727058483


